source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
831,1789484859.514805,46760.3467319,253,2,fd000200fb27ce44ba3799320000fd00d5c9f8ed
832,1789484859.5333343,46760.3652609,254,0,fe000000a76c7f65da4c94c22f53bcee2432684f
833,1789484859.5340476,46760.3659742,254,1,fe000100b66940cc6de30012d32400217f252981
834,1789484859.5348084,46760.366735,254,2,fe0002003e2b2704c237e7a60000fe007f252981
835,1789484859.5533335,46760.3852603,255,0,ff0000002a6c7ff6f02f540d2a58f070f29c1722
836,1789484859.554052,46760.3859788,255,1,ff000100b61da09abf4a282c22be1c9e1d1fae45
837,1789484859.5547926,46760.3867195,255,2,ff0002008a5d3b4b9c0fa9540000ff001d1fae45
838,1789484859.5733557,46760.4052827,256,0,00010000a66c036253159731511cbd2c67cbaa6f
839,1789484859.574038,46760.4059648,256,1,0001010000089741796f5f257bcda4cbaff81487
840,1789484859.574782,46760.4067087,256,2,00010200aacf6b429f83e91b00000001aff81487
841,1789484859.593318,46760.4252448,257,0,01010000a66c03611eb490cde5bd763e21c49bd6
842,1789484859.5940175,46760.4259444,257,1,01010100904787c546aa04ae02239dea3e4ac1b5
